treatment_group	indicator_bin_30	asleep	in_bed	treat_s	treat_s_i	efficiency_per_hour
	180.0	0.5022779	0.73071057			0.6873829
	210.0	0.55555856	0.7948634			0.69893587
	240.0	0.59573466	0.8342499			0.7140961
	270.0	0.6155005	0.85817224			0.7172226
	300.0	0.6286051	0.87305564			0.7200058
	330.0	0.6287231	0.88018876			0.7143048
	360.0	0.6321717	0.8831836			0.7157874
	390.0	0.6379617	0.88577			0.720234
	420.0	0.6325619	0.8845358			0.7151343
	450.0	0.62651783	0.879009			0.7127547
	480.0	0.6095018	0.8619203			0.707144
	510.0	0.5756693	0.8253471			0.6974875
	540.0	0.52316	0.7585443			0.6896894
	570.0	0.4541197	0.66644883			0.6814022
	600.0	0.3722309	0.55260384			0.6735945
	630.0	0.28917643	0.43443203			0.6656425
	660.0	0.21302098	0.32388088			0.65771395
	690.0	0.15040407	0.23482248			0.64050114
	720.0	0.11686189	0.18741487			0.6235465
		0.0	0.0			
